fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141,144,LBR,2.20781585916,Liberia,Africa,Western Africa,0.0,6.86558771133,3462952.55165,2016,WPnb
152,155,MLI,0.60551337587,Mali,Africa,Western Africa,0.0,2.50663518906,5232208.38317,2016,WPnb
156,159,MRT,0.357368167649,Mauritania,Africa,Western Africa,0.0,1.66052615643,975338.137351,2016,WPnb
29,29,BEN,0.919808163207,Benin,Africa,Western Africa,0.0,3.69180679321,1749733.59251,2016,WPnb
42,42,BFA,0.556402897605,Burkina Faso,Africa,Western Africa,0.0,1.64527511597,2448257.8791,2016,WPnb
178,181,NER,0.347115406439,Niger,Africa,Western Africa,0.0,1.20145726204,1766694.19281,2016,WPnb
47,47,CPV,1.85850712303,Cabo Verde,Africa,Western Africa,0.0,7.56488800049,54346.4652915,2016,WPnb
179,182,NGA,1.14665483591,Nigeria,Africa,Western Africa,0.0,16.3758678436,17042881.0379,2016,WPnb
66,66,CIV,1.31512054349,CA'te d'Ivoire,Africa,Western Africa,0.0,5.86509656906,6892757.18772,2016,WPnb
204,207,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2016,WPnb
214,217,SEN,0.620210438695,Senegal,Africa,Western Africa,0.0,5.12028121948,2005823.82021,2016,WPnb
217,221,SLE,1.67257206321,Sierra Leone,Africa,Western Africa,0.0,13.6060352325,1974315.77142,2016,WPnb
90,90,GMB,0.706770143362,Gambia,Africa,Western Africa,0.0,3.69424510002,121825.969611,2016,WPnb
94,94,GHA,1.20740605864,Ghana,Africa,Western Africa,0.0,5.36696624756,4592292.87745,2016,WPnb
105,105,GNB,1.04604311219,Guinea-Bissau,Africa,Western Africa,0.0,3.02922940254,519974.432508,2016,WPnb
106,106,GIN,1.46824218589,Guinea,Africa,Western Africa,0.0,9.61423492432,5897163.90656,2016,WPnb
238,243,TGO,1.26262982671,Togo,Africa,Western Africa,0.0,4.20902919769,1175829.07664,2016,WPnb
