fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
265,270,ZMB,13911.0022756,Zambia,Africa,Eastern Africa,0.0,31640.0625,1.7518616224e+11,2015,AGBP_Annual
266,271,ZWE,9685.51797593,Zimbabwe,Africa,Eastern Africa,0.0,32843.359375,65180814347.5,2015,AGBP_Annual
147,150,MDG,11132.1788341,Madagascar,Africa,Eastern Africa,0.0,36488.6796875,1.13042800924e+11,2015,AGBP_Annual
149,152,MWI,9146.68805451,Malawi,Africa,Eastern Africa,0.0,33533.8242188,18184823215.2,2015,AGBP_Annual
157,160,MUS,15743.4995252,Mauritius,Africa,Eastern Africa,0.0,33418.9101562,526352419.626,2015,AGBP_Annual
25,25,,,Bassas da India,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
158,161,MYT,,Mayotte,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
167,170,MOZ,11462.0725889,Mozambique,Africa,Eastern Africa,0.0,33223.7382812,1.54056170025e+11,2015,AGBP_Annual
38,38,IOT,,British Indian Ocean Territory,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
43,43,BDI,15519.4326986,Burundi,Africa,Eastern Africa,0.0,31726.7734375,6808406163.74,2015,AGBP_Annual
58,58,COM,17632.5003993,Comoros,Africa,Eastern Africa,0.0,32120.5820312,449135050.171,2015,AGBP_Annual
70,70,DJI,58.4713507401,Djibouti,Africa,Eastern Africa,0.0,8264.08398438,21005598.868,2015,AGBP_Annual
202,205,RWA,14976.7161209,Rwanda,Africa,Eastern Africa,0.0,35776.1679688,6203325863.84,2015,AGBP_Annual
203,206,REU,,RA(c)union,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
77,77,ERI,880.979943244,Eritrea,Africa,Eastern Africa,0.0,18075.9335938,1784230178.47,2015,AGBP_Annual
79,79,ETH,7833.46914763,Ethiopia,Africa,Eastern Africa,0.0,37389.609375,1.46009363133e+11,2015,AGBP_Annual
80,80,,,Europa Island,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
216,220,SYC,9799.84203525,Seychelles,Africa,Eastern Africa,0.0,33201.8632812,37366797.6804,2015,AGBP_Annual
222,226,SOM,1921.9830009,Somalia,Africa,Eastern Africa,0.0,25889.3164062,19955999469.9,2015,AGBP_Annual
96,96,,,Glorioso Island,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
242,247,,,Tromelin Island,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
248,253,UGA,14394.0335319,Uganda,Africa,Eastern Africa,0.0,36431.5273438,56708864819.2,2015,AGBP_Annual
252,257,TZA,11582.7591458,United Republic of Tanzania,Africa,Eastern Africa,0.0,35067.9882812,1.78581301009e+11,2015,AGBP_Annual
129,131,,,Juan de Nova Island,Africa,Eastern Africa,,,0.0,2015,AGBP_Annual
131,133,KEN,5510.87544249,Kenya,Africa,Eastern Africa,0.0,38529.8632812,52348544285.5,2015,AGBP_Annual
