fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
4.0,4.0,DZA,24.9562185736,Algeria,Africa,Northern Africa,0.0,1984.90698242,1065323297.09
6.0,6.0,SDN,139.934673616,Sudan,Africa,Northern Africa,0.0,4232.86621094,4348627828.94
270.0,40760.0,,0.414415191237,Hala'ib triangle,Africa,Northern Africa,0.0,1262.86303711,128561.123871
272.0,40765.0,EGY,48.0137043893,Egypt,Africa,Northern Africa,0.0,3886.13891602,856772433.66
142.0,145.0,LBY,7.46200332805,Libya,Africa,Northern Africa,0.0,3148.79492188,221046200.773
274.0,61013.0,,520.132087089,Ilemi triangle,Africa,Northern Africa,83.2799987793,2010.34094238,26981852.0177
276.0,74582.0,,609.064279695,Kafia Kenji,Africa,Northern Africa,330.119995117,1479.37695312,115666179.228
277.0,74583.0,,568.281283674,Kaka,Africa,Northern Africa,0.0,2602.11791992,5434473.91577
166.0,169.0,MAR,115.978169527,Morocco,Africa,Northern Africa,0.0,1876.81396484,918450260.88
74.0,74.0,SSD,762.440065096,South Sudan,Africa,Northern Africa,0.0,3028.89990234,7888657802.88
102.0,102.0,,580.45135685,Abyei,Africa,Northern Africa,156.766998291,1283.11499023,100618340.453
243.0,248.0,TUN,71.578500474,Tunisia,Africa,Northern Africa,0.0,2100.4440918,217668144.165
263.0,268.0,ESH,1.02855072001,Western Sahara,Africa,Northern Africa,0.0,2219.86206055,4946481.43746
