fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
265.0,270.0,ZMB,673.011816494,Zambia,Africa,Eastern Africa,0.0,2366.44604492,8475474705.27
266.0,271.0,ZWE,620.163541017,Zimbabwe,Africa,Eastern Africa,0.0,2407.65893555,4173526365.09
147.0,150.0,MDG,469.979216599,Madagascar,Africa,Eastern Africa,0.0,2833.68701172,4773551174.22
149.0,152.0,MWI,443.360712771,Malawi,Africa,Eastern Africa,0.0,2533.90405273,881460507.324
167.0,170.0,MOZ,693.049194561,Mozambique,Africa,Eastern Africa,0.0,2662.97900391,9315403131.25
43.0,43.0,BDI,617.715213228,Burundi,Africa,Eastern Africa,0.0,1889.6739502,270992899.474
58.0,58.0,COM,1041.72605889,Comoros,Africa,Eastern Africa,0.0,2106.21411133,26700480.6153
70.0,70.0,DJI,28.5840256979,Djibouti,Africa,Eastern Africa,0.0,2877.8269043,10289077.3062
202.0,205.0,RWA,586.228480933,Rwanda,Africa,Eastern Africa,0.0,1682.95898438,242814664.345
77.0,77.0,ERI,108.688403829,Eritrea,Africa,Eastern Africa,0.0,2667.37109375,220194880.592
79.0,79.0,ETH,451.370318695,Ethiopia,Africa,Eastern Africa,0.0,2769.55395508,8413172165.44
216.0,220.0,SYC,459.854335796,Seychelles,Africa,Eastern Africa,0.0,1880.14196777,1773658.17316
222.0,226.0,SOM,229.15192801,Somalia,Africa,Eastern Africa,0.0,2697.91601562,2379359859.51
248.0,253.0,UGA,822.479508298,Uganda,Africa,Eastern Africa,0.0,2308.54296875,3240396542.0
252.0,257.0,TZA,613.309188339,United Republic of Tanzania,Africa,Eastern Africa,0.0,2363.27197266,9456253749.2
131.0,133.0,KEN,443.476887488,Kenya,Africa,Eastern Africa,0.0,3436.39306641,4212666780.09
