fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
140.0,142.0,LSO,204.240082648,Lesotho,Africa,Southern Africa,0.0,1433.22998047,116239975.198
35.0,35.0,BWA,460.529894957,Botswana,Africa,Southern Africa,0.0,2670.83496094,4683280016.15
169.0,172.0,NAM,245.533633493,Namibia,Africa,Southern Africa,0.0,2510.12988281,3559981103.0
223.0,227.0,ZAF,293.132884235,South Africa,Africa,Southern Africa,0.0,2524.6940918,6651570026.76
230.0,235.0,SWZ,599.726760159,Swaziland,Africa,Southern Africa,0.0,1826.31396484,188534902.138
