fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
4.0,4.0,DZA,23.6509271259,Algeria,Africa,Northern Africa,0.0,1946.98400879,1009603421.71
6.0,6.0,SDN,147.836664542,Sudan,Africa,Northern Africa,0.0,3979.90698242,4594191110.39
270.0,40760.0,,0.544347414409,Hala'ib triangle,Africa,Northern Africa,0.0,1541.36804199,168869.08794
272.0,40765.0,EGY,49.8973002353,Egypt,Africa,Northern Africa,0.0,3792.83886719,890383941.405
142.0,145.0,LBY,8.12112572657,Libya,Africa,Northern Africa,0.0,3039.52709961,240571319.649
274.0,61013.0,,443.749983353,Ilemi triangle,Africa,Northern Africa,28.6909999847,1564.13696289,23019530.3864
276.0,74582.0,,809.057029434,Kafia Kenji,Africa,Northern Africa,453.756011963,1684.26696777,153646402.346
277.0,74583.0,,695.711850292,Kaka,Africa,Northern Africa,0.0,2518.17700195,6653092.42435
166.0,169.0,MAR,101.164694104,Morocco,Africa,Northern Africa,0.0,2003.75,801139904.783
74.0,74.0,SSD,855.726743377,South Sudan,Africa,Northern Africa,0.0,2921.81298828,8853857188.67
102.0,102.0,,777.162925286,Abyei,Africa,Northern Africa,27.8680000305,1574.06103516,134717307.284
243.0,248.0,TUN,90.3920813632,Tunisia,Africa,Northern Africa,0.0,2209.125,274879698.055
263.0,268.0,ESH,0.651992171186,Western Sahara,Africa,Northern Africa,0.0,2100.63891602,3135545.10185
