fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
135.0,137.0,KWT,5.03330099614,Kuwait,Asia,Western Asia,0.0,2384.29907227,1632344.81276
139.0,141.0,LBN,361.300298006,Lebanon,Asia,Western Asia,0.0,1922.09899902,71658494.6051
278.0,-1.0,PSE,169.153545939,Occupied Palestinian Territory,Asia,Western Asia,0.0,1670.11096191,19893133.6166
279.0,-2.0,,366.954292317,No Man's Land,Asia,Western Asia,11.5450000763,1017.86798096,562540.930121
21.0,21.0,BHR,3.86747540651,Bahrain,Asia,Western Asia,0.0,2134.19506836,46695.8980582
184.0,187.0,OMN,11.1019227963,Oman,Asia,Western Asia,0.0,3948.32495117,59558185.4735
198.0,201.0,QAT,5.77703611418,Qatar,Asia,Western Asia,0.0,3800.5949707,1199000.73735
212.0,215.0,SAU,12.4218740017,Saudi Arabia,Asia,Western Asia,0.0,4927.16210938,427113790.206
233.0,238.0,SYR,69.6477166926,Syrian Arab Republic,Asia,Western Asia,0.0,2375.70605469,259767735.562
118.0,118.0,IRQ,65.7049082777,Iraq,Asia,Western Asia,0.0,2753.14697266,555227171.993
250.0,255.0,ARE,7.33178627685,United Arab Emirates,Asia,Western Asia,0.0,2991.70898438,9163853.03171
121.0,121.0,ISR,139.642469985,Israel,Asia,Western Asia,0.0,2016.24499512,55054323.0766
128.0,130.0,JOR,22.8700171319,Jordan,Asia,Western Asia,0.0,5477.47998047,38716103.1222
264.0,269.0,YEM,60.8435176123,Yemen,Asia,Western Asia,0.0,2666.47802734,467471941.023
