fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
8.0,8.0,AGO,698.193531965,Angola,Africa,Middle Africa,0.0,2313.69995117,14533385008.7
45.0,45.0,CMR,702.533814568,Cameroon,Africa,Middle Africa,0.0,3374.89306641,5359989466.12
49.0,49.0,CAF,858.103411445,Central African Republic,Africa,Middle Africa,0.0,1718.1550293,8728431395.54
50.0,50.0,TCD,210.872148258,Chad,Africa,Middle Africa,0.0,4144.45507812,4517197302.16
59.0,59.0,COG,727.607749246,Congo,Africa,Middle Africa,0.0,1882.73803711,4044384390.74
68.0,68.0,COD,827.467049525,Democratic Republic of the Congo,Africa,Middle Africa,0.0,2275.58911133,31553904432.9
76.0,76.0,GNQ,645.306164373,Equatorial Guinea,Africa,Middle Africa,0.0,1512.15197754,283497840.051
211.0,214.0,STP,769.844427523,Sao Tome and Principe,Africa,Middle Africa,0.0,1579.96398926,11850985.1173
89.0,89.0,GAB,660.152021515,Gabon,Africa,Middle Africa,0.0,2249.15698242,2839259712.07
