fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
135.0,137.0,KWT,5.48451173235,Kuwait,Asia,Western Asia,0.0,2215.7590332,1778676.51541
139.0,141.0,LBN,320.755154161,Lebanon,Asia,Western Asia,0.0,1776.98400879,63616973.5005
278.0,-1.0,PSE,200.171342427,Occupied Palestinian Territory,Asia,Western Asia,0.0,1615.1619873,23540950.5548
279.0,-2.0,,456.114077319,No Man's Land,Asia,Western Asia,15.9010000229,1102.04699707,699222.88053
21.0,21.0,BHR,3.53104919984,Bahrain,Asia,Western Asia,0.0,2194.46606445,42633.8880389
184.0,187.0,OMN,8.3704922819,Oman,Asia,Western Asia,0.0,3952.44702148,44904953.9414
198.0,201.0,QAT,6.4148095355,Qatar,Asia,Western Asia,0.0,3878.67602539,1331368.05986
212.0,215.0,SAU,11.9688161489,Saudi Arabia,Asia,Western Asia,0.0,5157.79199219,411535846.277
233.0,238.0,SYR,74.6322523024,Syrian Arab Republic,Asia,Western Asia,0.0,2176.33886719,278358747.438
118.0,118.0,IRQ,62.6203198858,Iraq,Asia,Western Asia,0.0,2492.79394531,529161428.435
250.0,255.0,ARE,7.49324062854,United Arab Emirates,Asia,Western Asia,0.0,2959.06591797,9365651.5968
121.0,121.0,ISR,173.542132128,Israel,Asia,Western Asia,0.0,1936.21203613,68419332.6758
128.0,130.0,JOR,28.961001283,Jordan,Asia,Western Asia,0.0,5623.22021484,49027384.008
264.0,269.0,YEM,54.3229346544,Yemen,Asia,Western Asia,0.0,2691.87988281,417373102.37
