fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
135.0,137.0,KWT,4.2868639012,Kuwait,Asia,Western Asia,0.0,2347.60107422,1390268.54493
139.0,141.0,LBN,326.362121522,Lebanon,Asia,Western Asia,0.0,1792.70300293,64729031.3721
278.0,-1.0,PSE,172.926599124,Occupied Palestinian Territory,Asia,Western Asia,0.0,1618.1550293,20336859.7634
279.0,-2.0,,387.717942179,No Man's Land,Asia,Western Asia,11.8529996872,936.692993164,594371.60536
21.0,21.0,BHR,4.05073264857,Bahrain,Asia,Western Asia,0.0,2034.25195312,48908.5459988
184.0,187.0,OMN,12.4661899957,Oman,Asia,Western Asia,0.0,3810.98095703,66877032.8829
198.0,201.0,QAT,5.77423173509,Qatar,Asia,Western Asia,0.0,3850.30200195,1198418.69969
212.0,215.0,SAU,12.770318458,Saudi Arabia,Asia,Western Asia,0.0,5245.23876953,439094706.481
233.0,238.0,SYR,68.6804119487,Syrian Arab Republic,Asia,Western Asia,0.0,2247.50610352,256159942.301
118.0,118.0,IRQ,53.1957852423,Iraq,Asia,Western Asia,0.0,2703.60791016,449521141.97
250.0,255.0,ARE,8.50576518613,United Arab Emirates,Asia,Western Asia,0.0,3135.12890625,10631185.7908
121.0,121.0,ISR,142.750113071,Israel,Asia,Western Asia,0.0,1968.56494141,56279517.5785
128.0,130.0,JOR,21.6363102233,Jordan,Asia,Western Asia,0.0,5335.13818359,36627590.3056
264.0,269.0,YEM,59.6325666782,Yemen,Asia,Western Asia,0.0,2780.70507812,458167982.181
