fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
265.0,270.0,ZMB,620.381579827,Zambia,Africa,Eastern Africa,0.0,2455.89599609,7812683609.08
266.0,271.0,ZWE,508.408482673,Zimbabwe,Africa,Eastern Africa,0.0,2393.56811523,3421446225.61
147.0,150.0,MDG,471.453131253,Madagascar,Africa,Eastern Africa,0.0,2869.31494141,4788521638.41
149.0,152.0,MWI,376.194675043,Malawi,Africa,Eastern Africa,0.0,2318.10302734,747925424.072
167.0,170.0,MOZ,694.910127124,Mozambique,Africa,Eastern Africa,0.0,2578.53808594,9340416271.95
43.0,43.0,BDI,587.491010704,Burundi,Africa,Eastern Africa,0.0,1862.98596191,257733481.378
58.0,58.0,COM,930.235798284,Comoros,Africa,Eastern Africa,0.0,1802.42797852,23842873.7458
70.0,70.0,DJI,22.434766699,Djibouti,Africa,Eastern Africa,0.0,3060.54589844,8075596.18622
202.0,205.0,RWA,567.667973348,Rwanda,Africa,Eastern Africa,0.0,1725.81298828,235126939.225
77.0,77.0,ERI,105.447892302,Eritrea,Africa,Eastern Africa,0.0,2692.01904297,213629837.557
79.0,79.0,ETH,440.745725904,Ethiopia,Africa,Eastern Africa,0.0,2848.16503906,8215138478.61
216.0,220.0,SYC,504.563181411,Seychelles,Africa,Eastern Africa,0.0,1801.10595703,1946100.1907
222.0,226.0,SOM,246.139735864,Somalia,Africa,Eastern Africa,0.0,2824.54394531,2555749857.45
248.0,253.0,UGA,726.400613508,Uganda,Africa,Eastern Africa,0.0,2425.62109375,2861865873.09
252.0,257.0,TZA,589.62869624,United Republic of Tanzania,Africa,Eastern Africa,0.0,2393.22802734,9091138165.65
131.0,133.0,KEN,420.729594952,Kenya,Africa,Eastern Africa,0.0,3490.17089844,3996586153.78
