fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
140.0,142.0,LSO,255.712816993,Lesotho,Africa,Southern Africa,0.0,1244.84094238,145534858.387
35.0,35.0,BWA,448.189732563,Botswana,Africa,Southern Africa,0.0,2575.12402344,4557788844.85
169.0,172.0,NAM,322.913932494,Namibia,Africa,Southern Africa,0.0,2278.52099609,4681914576.1
223.0,227.0,ZAF,337.503051221,South Africa,Africa,Southern Africa,0.0,2442.95605469,7658387373.71
230.0,235.0,SWZ,712.793273285,Swaziland,Africa,Southern Africa,0.0,1766.62695312,224079395.736
