fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
265.0,270.0,ZMB,718.927457656,Zambia,Africa,Eastern Africa,0.0,2398.65893555,9053706536.72
266.0,271.0,ZWE,583.951958224,Zimbabwe,Africa,Eastern Africa,0.0,2446.77294922,3929832588.35
147.0,150.0,MDG,516.189564177,Madagascar,Africa,Eastern Africa,0.0,2563.92993164,5242906948.16
149.0,152.0,MWI,449.865934021,Malawi,Africa,Eastern Africa,0.0,2534.14794922,894393758.869
167.0,170.0,MOZ,709.726694929,Mozambique,Africa,Eastern Africa,0.0,2595.99902344,9539568515.7
43.0,43.0,BDI,643.164574662,Burundi,Africa,Eastern Africa,0.0,1786.49804688,282157585.233
58.0,58.0,COM,1039.20934382,Comoros,Africa,Eastern Africa,0.0,1871.91003418,26635974.6914
70.0,70.0,DJI,24.4685580716,Djibouti,Africa,Eastern Africa,0.0,3060.91601562,8807677.6949
202.0,205.0,RWA,602.425446365,Rwanda,Africa,Eastern Africa,0.0,1650.76696777,249523415.034
77.0,77.0,ERI,116.235119656,Eritrea,Africa,Eastern Africa,0.0,2544.01196289,235483983.495
79.0,79.0,ETH,472.261081151,Ethiopia,Africa,Eastern Africa,0.0,2814.88598633,8802558826.3
216.0,220.0,SYC,502.115622847,Seychelles,Africa,Eastern Africa,0.0,1859.97705078,1936659.95732
222.0,226.0,SOM,207.654757356,Somalia,Africa,Eastern Africa,0.0,2784.08203125,2156147664.05
248.0,253.0,UGA,776.90294925,Uganda,Africa,Eastern Africa,0.0,2312.9050293,3060834470.43
252.0,257.0,TZA,615.316023813,United Republic of Tanzania,Africa,Eastern Africa,0.0,2331.62988281,9487195965.35
131.0,133.0,KEN,413.410665393,Kenya,Africa,Eastern Africa,0.0,3444.51611328,3927062324.48
