fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
135.0,137.0,KWT,5.81075465474,Kuwait,Asia,Western Asia,0.0,2283.15991211,1884480.03132
139.0,141.0,LBN,360.913285412,Lebanon,Asia,Western Asia,0.0,1935.24304199,71581736.4621
278.0,-1.0,PSE,198.243446958,Occupied Palestinian Territory,Asia,Western Asia,0.0,1676.40698242,23314222.336
279.0,-2.0,,416.870461765,No Man's Land,Asia,Western Asia,13.3249998093,1031.00402832,639062.417886
21.0,21.0,BHR,3.55326180069,Bahrain,Asia,Western Asia,0.0,2071.05908203,42902.0829815
184.0,187.0,OMN,10.9872958256,Oman,Asia,Western Asia,0.0,3973.64404297,58943249.2584
198.0,201.0,QAT,5.19694592346,Qatar,Asia,Western Asia,0.0,3863.15112305,1078605.33863
212.0,215.0,SAU,12.1454322075,Saudi Arabia,Asia,Western Asia,0.0,5165.81982422,417608613.895
233.0,238.0,SYR,82.4961714508,Syrian Arab Republic,Asia,Western Asia,0.0,2406.60302734,307689105.515
118.0,118.0,IRQ,63.255862622,Iraq,Asia,Western Asia,0.0,2649.76489258,534531964.753
250.0,255.0,ARE,9.43247200272,United Arab Emirates,Asia,Western Asia,0.0,3143.00292969,11789458.1068
121.0,121.0,ISR,147.585115394,Israel,Asia,Western Asia,0.0,2085.54394531,58185726.9142
128.0,130.0,JOR,29.4788877113,Jordan,Asia,Western Asia,0.0,5665.41601562,49904101.5131
264.0,269.0,YEM,68.957216791,Yemen,Asia,Western Asia,0.0,2656.77294922,529810984.733
