fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
141.0,144.0,LBR,881.74100046,Liberia,Africa,Western Africa,0.0,1596.73999023,1387674287.37
152.0,155.0,MLI,183.077061311,Mali,Africa,Western Africa,0.0,3400.19604492,3916169746.18
156.0,159.0,MRT,36.128189179,Mauritania,Africa,Western Africa,0.0,3283.36694336,651665391.598
29.0,29.0,BEN,655.950505746,Benin,Africa,Western Africa,0.0,2603.48291016,1250294795.94
42.0,42.0,BFA,513.634554777,Burkina Faso,Africa,Western Africa,0.0,2892.47290039,2341297822.87
178.0,181.0,NER,64.1096972141,Niger,Africa,Western Africa,0.0,3225.73388672,1295487859.32
179.0,182.0,NGA,568.918673523,Nigeria,Africa,Western Africa,0.0,3507.56494141,8553290599.83
66.0,66.0,CIV,884.770204451,CA'te d'Ivoire,Africa,Western Africa,0.0,2135.59594727,4683585933.01
214.0,217.0,SEN,495.750207748,Senegal,Africa,Western Africa,0.0,3281.67700195,1633465206.52
217.0,221.0,SLE,884.051431845,Sierra Leone,Africa,Western Africa,0.0,1679.79394531,1049474251.72
90.0,90.0,GMB,696.568811028,Gambia,Africa,Western Africa,0.0,2610.51904297,123525333.535
94.0,94.0,GHA,714.666998571,Ghana,Africa,Western Africa,0.0,2416.67797852,2810676676.0
105.0,105.0,GNB,895.319408368,Guinea-Bissau,Africa,Western Africa,0.0,2003.43005371,448334775.018
106.0,106.0,GIN,777.70021114,Guinea,Africa,Western Africa,0.0,2290.24609375,3130652420.15
238.0,243.0,TGO,638.952751892,Togo,Africa,Western Africa,0.0,1942.51501465,598042524.047
