fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
141.0,144.0,LBR,825.91341331,Liberia,Africa,Western Africa,0.0,1407.09204102,1299813444.82
152.0,155.0,MLI,179.046942472,Mali,Africa,Western Africa,0.0,3506.35791016,3829962171.3
156.0,159.0,MRT,34.3224721062,Mauritania,Africa,Western Africa,0.0,3177.65600586,619094610.994
29.0,29.0,BEN,637.448790096,Benin,Africa,Western Africa,0.0,2480.99291992,1215029027.28
42.0,42.0,BFA,492.902664533,Burkina Faso,Africa,Western Africa,0.0,2821.95703125,2246795751.23
178.0,181.0,NER,57.8822314964,Niger,Africa,Western Africa,0.0,3323.79907227,1169647205.22
179.0,182.0,NGA,566.577222239,Nigeria,Africa,Western Africa,0.0,3536.64306641,8518088532.85
66.0,66.0,CIV,841.804431588,CA'te d'Ivoire,Africa,Western Africa,0.0,2075.44311523,4456143950.48
214.0,217.0,SEN,481.718410937,Senegal,Africa,Western Africa,0.0,3155.91992188,1587231334.06
217.0,221.0,SLE,877.792584032,Sierra Leone,Africa,Western Africa,0.0,1690.29699707,1042044254.56
90.0,90.0,GMB,630.155937026,Gambia,Africa,Western Africa,0.0,2466.91894531,111748072.937
94.0,94.0,GHA,717.819174081,Ghana,Africa,Western Africa,0.0,2257.72290039,2823073703.15
105.0,105.0,GNB,905.218665174,Guinea-Bissau,Africa,Western Africa,0.0,1951.67700195,453291867.461
106.0,106.0,GIN,762.173081343,Guinea,Africa,Western Africa,0.0,2106.37402344,3068147555.45
238.0,243.0,TGO,621.482298168,Togo,Africa,Western Africa,0.0,1811.50598145,581690651.063
