fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
140.0,142.0,LSO,229.807304969,Lesotho,Africa,Southern Africa,0.0,1297.79199219,130791150.706
35.0,35.0,BWA,474.023474036,Botswana,Africa,Southern Africa,0.0,2285.12011719,4820500661.2
169.0,172.0,NAM,300.29794436,Namibia,Africa,Southern Africa,0.0,2227.87207031,4354006381.87
223.0,227.0,ZAF,321.309136404,South Africa,Africa,Southern Africa,0.0,2276.03808594,7290926183.9
230.0,235.0,SWZ,613.507997021,Swaziland,Africa,Southern Africa,0.0,1725.91894531,192867282.008
