fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
8.0,8.0,AGO,743.779492862,Angola,Africa,Middle Africa,0.0,2095.93798828,15482288558.2
45.0,45.0,CMR,766.936354004,Cameroon,Africa,Middle Africa,0.0,3563.88696289,5851349349.17
49.0,49.0,CAF,938.012359554,Central African Republic,Africa,Middle Africa,0.0,1797.12805176,9541246916.55
50.0,50.0,TCD,219.41580161,Chad,Africa,Middle Africa,0.0,4218.85302734,4700215155.35
59.0,59.0,COG,769.329448308,Congo,Africa,Middle Africa,0.0,1560.70703125,4276293119.88
68.0,68.0,COD,878.088098068,Democratic Republic of the Congo,Africa,Middle Africa,0.0,2211.51806641,33484243204.6
76.0,76.0,GNQ,672.182688294,Equatorial Guinea,Africa,Middle Africa,0.0,1530.4510498,295305315.169
211.0,214.0,STP,758.52473277,Sao Tome and Principe,Africa,Middle Africa,0.0,1542.41296387,11676729.7363
89.0,89.0,GAB,694.285462599,Gabon,Africa,Middle Africa,0.0,1952.0760498,2986064843.23
