fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
141.0,144.0,LBR,826.849021992,Liberia,Africa,Western Africa,0.0,1440.17700195,1301285895.47
152.0,155.0,MLI,208.336777863,Mali,Africa,Western Africa,0.0,3343.29907227,4456495973.01
156.0,159.0,MRT,39.6668888315,Mauritania,Africa,Western Africa,0.0,3327.33300781,715494997.984
29.0,29.0,BEN,778.504163091,Benin,Africa,Western Africa,0.0,2635.46704102,1483891993.69
42.0,42.0,BFA,625.509805629,Burkina Faso,Africa,Western Africa,0.0,2966.2800293,2851258219.45
178.0,181.0,NER,69.9908520618,Niger,Africa,Western Africa,0.0,3321.42700195,1414330484.3
179.0,182.0,NGA,623.194143169,Nigeria,Africa,Western Africa,0.0,3816.63793945,9369283967.48
66.0,66.0,CIV,909.158990954,CA'te d'Ivoire,Africa,Western Africa,0.0,2375.1640625,4812689486.47
214.0,217.0,SEN,515.99515132,Senegal,Africa,Western Africa,0.0,3305.56591797,1700170999.91
217.0,221.0,SLE,870.926867031,Sierra Leone,Africa,Western Africa,0.0,1673.73706055,1033893831.46
90.0,90.0,GMB,773.628940544,Gambia,Africa,Western Africa,0.0,2729.89013672,137190714.543
94.0,94.0,GHA,733.623016254,Ghana,Africa,Western Africa,0.0,2595.97509766,2885227812.23
105.0,105.0,GNB,985.36107865,Guinea-Bissau,Africa,Western Africa,0.0,2062.95507812,493423501.578
106.0,106.0,GIN,836.387490341,Guinea,Africa,Western Africa,0.0,2341.81005859,3366899588.44
238.0,243.0,TGO,702.194522182,Togo,Africa,Western Africa,0.0,1941.44299316,657235113.51
