fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
141.0,144.0,LBR,861.502243673,Liberia,Africa,Western Africa,0.0,1394.52502441,1355822754.57
152.0,155.0,MLI,181.851256054,Mali,Africa,Western Africa,0.0,3406.75195312,3889948757.98
156.0,159.0,MRT,33.6252076567,Mauritania,Africa,Western Africa,0.0,3227.53198242,606517642.126
29.0,29.0,BEN,700.923039816,Benin,Africa,Western Africa,0.0,2572.37109375,1336016088.66
42.0,42.0,BFA,531.520562099,Burkina Faso,Africa,Western Africa,0.0,2801.4609375,2422827520.61
178.0,181.0,NER,64.696520564,Niger,Africa,Western Africa,0.0,3287.38500977,1307346011.18
179.0,182.0,NGA,602.955833333,Nigeria,Africa,Western Africa,0.0,3553.79199219,9065015267.35
66.0,66.0,CIV,919.38714582,CA'te d'Ivoire,Africa,Western Africa,0.0,2148.40991211,4866832858.4
214.0,217.0,SEN,467.556469337,Senegal,Africa,Western Africa,0.0,3200.05200195,1540568642.85
217.0,221.0,SLE,874.246760225,Sierra Leone,Africa,Western Africa,0.0,1608.91503906,1037834939.75
90.0,90.0,GMB,692.914976879,Gambia,Africa,Western Africa,0.0,2627.81396484,122877384.51
94.0,94.0,GHA,795.714080999,Ghana,Africa,Western Africa,0.0,2379.1809082,3129422532.03
105.0,105.0,GNB,932.35917385,Guinea-Bissau,Africa,Western Africa,0.0,1932.59399414,466882585.742
106.0,106.0,GIN,815.989520735,Guinea,Africa,Western Africa,0.0,2285.74902344,3284787031.44
238.0,243.0,TGO,677.495121994,Togo,Africa,Western Africa,0.0,1907.99194336,634117141.818
