fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
4.0,4.0,DZA,24.8916162006,Algeria,Africa,Northern Africa,0.0,1913.54296875,1062565571.08
6.0,6.0,SDN,142.022918019,Sudan,Africa,Northern Africa,0.0,3956.27099609,4413522379.28
270.0,40760.0,,0.690404995575,Hala'ib triangle,Africa,Northern Africa,0.0,1545.27197266,214179.508942
272.0,40765.0,EGY,49.1964008492,Egypt,Africa,Northern Africa,0.0,3773.87304688,877876860.762
142.0,145.0,LBY,7.14856077774,Libya,Africa,Northern Africa,0.0,2988.85791016,211761122.509
274.0,61013.0,,480.123296088,Ilemi triangle,Africa,Northern Africa,43.6259994507,1658.34997559,24906395.9846
276.0,74582.0,,832.824945925,Kafia Kenji,Africa,Northern Africa,395.832000732,1804.8260498,158160119.831
277.0,74583.0,,766.400294193,Kaka,Africa,Northern Africa,0.0,2668.0769043,7329086.01337
166.0,169.0,MAR,128.928271425,Morocco,Africa,Northern Africa,0.0,1847.06298828,1021004254.58
74.0,74.0,SSD,890.961185372,South Sudan,Africa,Northern Africa,0.0,3109.69189453,9218413654.8
102.0,102.0,,768.397516166,Abyei,Africa,Northern Africa,35.466999054,1540.55895996,133197867.44
243.0,248.0,TUN,83.6264857043,Tunisia,Africa,Northern Africa,0.0,2292.59399414,254305717.859
263.0,268.0,ESH,3.63137151048,Western Sahara,Africa,Northern Africa,0.0,2190.60400391,17463904.7153
